citation_key,first_author,year,location_snippet
bolotin_2005,Bolotin,2005,"n resistance to bacteriophage infection and CRISPR sequence (Bolotin et al., 2005). Building on the previous observations of genomic character"
bray_2012,Bray,2012,"cancer risk factors within social and economic development (Bray et al., 2012; Li et al., 2019). Data from the 2019 Global Burden of disease (GBD) study in"
bray_2018,Bray,2018,"d type, there are clear mortality and morbidity differences (Bray et al., 2018). To reduce the cancer burden globally a regionally tailored"
britt_2020,Britt,2020,"nd can contribute to an increased risk of developing cancer (Britt et al., 2020). Sexual transmission of certain viruses - for example human"
briu_2021,Briu,2021,"ollide with forks that are progressing at a slower velocity (Briu et al., 2021). Because there is a lower density of replication origins wi"
bucknall_1973,Bucknall,1973,"ontrolling cell proliferation and treating viral infections (Iliakis 1982; Krokan 1981; Bucknall 1973). Common fragile sites (CFSs) in the DNA present as breaks,"
cao_2020,Cao,2020,"an cancer that induces the “escape from apoptosis” hallmark (Cao et al., 2020). TP53 can induce senescence and apoptosis in response to DN"
cassandri_2017,Cassandri,2017,"in that belongs to the CCCH-type zinc finger protein family (Cassandri et al., 2017; Sidali et al., 2021). Sidali (2023) characterised the role of ZFP36L1 in suppres"
charpentier_2015,Charpentier,2015,"ent complex of Cas proteins and nucleases or external RNase (Charpentier et al., 2015)."
colditz_2012,Colditz,2012,"y targeting smoking, obesity, and lack of physical exercise (Colditz et al., 2012)."
common_2019,Common,2019,"lve as indicated by the variations in the spacer repertoire (Common et al., 2019)"
couch_2015,Couch,2015,"2 mutations were present in 155 and 49 tumours respectively (Couch et al., 2015). BRCA1 is implicated as a breast/ovarian cancer gene that c"
curtis_2012,Curtis,2012,"ld be a potential useful therapeutic method for managing BC (Curtis et al., 2012). CXCR7/4 has been knocked out in MDA-MB-231 BC cells due to"
czajkowski_2022,Czajkowski,2022,"DDR components being inactivated or rendered less effective (Czajkowski et al., 2022). Mutations in genes such as TP53, CDH1, SKT11, PTEN, BRCA1"
dedrick_2017,Dedrick,2017,"de modification of the cell surface preventing phage access (Dedrick et al., 2017), a mechanism that initiates cell apoptosis upon infection t"
deshpande_2022,Deshpande,2022,"tion stress and genomic instability to be understood deeper (Aguilera and García-Muse, 2012; Deshpande et al., 2022)."
diffley_2011,Diffley,2011,"ress and therefore can often be the cause of carcinogenesis (Bartkova et al., 2006; Diffley, 2011)."
dockrell_2001,Dockrell,2001,"optosis upon infection thus controlling spread of infection (Dockrell, 2001), and restriction modification (Tock and Dryden, 2005). CRIS"
durkin_2008,Durkin,2008,"the link between reproduction stress and tumour development (Durkin et al., 2008). Mice treated with hydroxyurea (HU), which depletes nucleot"
easton_1995,Easton,1995,"isks for breast cancer (50-85%) and ovarian cancer (30–60%) (Easton et al., 1995). Additionally, mutations found in CHK2, PALB2, ATM and BRIP"
ekholmreed_2004,Ekholm-Reed,2004,", H-RAS and c-Myc can act as inducers of replication stress (Ekholm-Reed et al., 2004; Kotsantis et al., 2016; Leonard and Méchali, 2013; Srinivasan et al., 2013). It has been found that replication stress can be induced w"
elias_2017,Elias,2017,"subunits also has been shown to increase migration in cells (Elias et al., 2017). Upon investigating interactions between non-coding RNAs an"
ellis_2013,Ellis,2013,"e is extensive intratumoural genetic heterogeneity (Fig. 7) (Banerji et al., 2012; Ellis and Perou, 2013; Shah et al., 2012). The subclones formed due to this somatic heterogeneity hav"
ermini_2025,Ermini,2025,"r pathways, replication stress, and environmental stressors (Ermini, 2025)."
felty_2005,Felty,2005,"cies (ROS) which are a side effect of cellular respiration. Felty et al. (2005) observed, in several breast cancer cell lines, that estradi"
feng_2017,Feng,2017,"y. The rarity is also accounted for in their classification (Feng and Chakraborty, 2017)."
ferlay_2019,Ferlay,2019,"regions in 2018 in men (a), women (b) and both genders (c) (Ferlay et al., 2019)."
fernandez_2006,Fernandez,2006,"es are mutagenic and can induce breast cancer tumorigenesis (Fernandez et al., 2006). Several studies have demonstrated that if regular breast e"
foley_2015,Foley,2015,"nt when multiple variants at distinct locations are present (Foley et al., 2015). The relationship between genotype and phenotype is often i"
friedenreich_2021,Friedenreich,2021,"of physical exercise can also influence cancer acquisition (Friedenreich et al., 2021). There is much evidence that alcohol is a carcinogen affect"
fumet_2020,Fumet,2020,"ome-wide mutational load can influence therapeutic response (Fumet et al., 2020). Multiple meta-analyses have demonstrated that higher TMB i"
fussell_2011,Fussell,2011,"se in intracellular ROS which produces oxidative DNA damage (Park et al., 2009; Fussell et al., 2011). One theory suggests that estrogen metabolites can interfer"
gaillard_2015,Gaillard,2015,"s the replication process in cancers (see figure 2.2 below) (Gaillard et al., 2015). It has been observed that hypomorphic alleles (genetic var"
glover_2017,Glover,2017,"should be avoided for the fork to move into further phases (Glover et al., 2017). Figure 2.1 below shows the proteins recruited when ssDNA l"
greaves_2012,Greaves,2012,"in a tumour and its metastases appear to continue to evolve (Greaves and Maley, 2012; Nowell, 1976)."
grissa_2007,Grissa,2007,"is now accessible in the form of online databases and tools (Grissa et al., 2007; Grissa et al., 2008; Oberle et al., 1991). There are three stages in the CRISPR system: adaptation, p"
grissa_2008,Grissa,2008,"is now accessible in the form of online databases and tools (Grissa et al., 2007; Grissa et al., 2008; Oberle et al., 1991). There are three stages in the CRISPR system: adaptation, p"
hafezi_2021,Hafezi,2021,"es for a protein that inhibits the proapoptotic protein Bax (Hafezi and Rahmani, 2021). When compared to non-cancerous cells, cancer cells that ha"
hanahan_2011,Hanahan,2011,there are signature indicators that are within all cancers. Hanahan and Weinberg (2011) proposed a set of ‘hallmarks’ of cancer: growth signal auto
hannafon_2019,Hannafon,2019,"s when considered with the prognosis and metastasis of TNBC (Hannafon et al., 2019). In addition to the above many other genes suspected in hav"
haronikova_2021,Haronikova,2021,"ally, TP53 mutant cells can escape apoptosis and senescence (Haronikova et al., 2021). The genes ATM, MDM2 and MCL1 are also frequently mutated,"
hason_2019,Hason,2019,"units at low costs and their low offspring generation time (Hason and Bartůněk, 2019). Some researchers have found that the tree shrew (Tupaia be"
heather_2016,Heather,2016,"uencing – these systems were faster and more cost effective (Heather and Chain, 2016). In 2000 the completion of the Human Genome Project was a k"
howard_2015,Howard,2015,"ncer detection, personalised medicine and newborn screening (Howard et al., 2015). Although the technology is aiding science and research in"
hu_2007,Hu,2007,"athway, increased the probability of mice developing cancer (Mann et al., 2005; Hu et al., 2007)."
huang_2020,Huang,2020,"ance to toxicological treatments versus standard 2D models. (Huang et al., 2020). There are several different ways that 3D models are produc"
huang_2021,Huang,2021,"e environment, diet and exercise, and reproductive patterns (Huang et al., 2021). In the environment, exposure to chemicals, radiation, and"
iliakis_1982,Iliakis,1982,"ontrolling cell proliferation and treating viral infections (Iliakis 1982; Krokan 1981; Bucknall 1973). Common fragile sites (CFSs) in the DNA present as breaks,"
ipoutcha_2019,Ipoutcha,2019,"e of bacterial cells to protection against invading viruses (Ipoutcha et al., 2019). To protect prokaryotic populations from phage infection, C"
ishino_1987,Ishino,1987,"cleotides as spacing: a previously unseen feature in E.coli (Ishino et al., 1987). In 1990, Francisco Mojica, from the University of Alicante"
jansen_2002,Jansen,2002,"g interconnected roles in DNA metabolism or gene expression (Jansen et al., 2002). In 2005, independently in breakthrough studies, Francisco"
jiang_2009,Jiang,2009,"laxation of chromatin reduces the breakage of fragile spots (Jiang et al., 2009). These findings suggest that DNA DSBs may occur more freque"
jones_2010,Jones,2010,"ormed by cells to duplicate the genome before cell division (Jones and Petermann, 2010). Thousands of replication origins are activated, and pre-re"
kandoth_2013,Kandoth,2013,"hat DDR genes are often found to be mutated in cancer cells (Kandoth et al., 2013). Studies show that inactivation of DNA polymerases by aphid"
kang_1997,Kang,1997,"lial cells – these are sensitive to hormones and express ER (Kang et al., 1997). Ductal morphogenesis and cell proliferation are invoked by"
karn_2022,Karn,2022,"of CRISPR for gene modification for breast cancer treatment (Karn et al., 2022)."
kashyap_2022,Kashyap,2022,"f breast cancer (BC) has been growing globally year on year (Kashyap et al., 2022). It is also a primary health concern for women due to the h"
kim_2024,Kim,2024,"alysis of somatic variation across the entire tumour genome (Kim et al., 2024). Cancer is a disease of mutations of the genome characteris"
kleibl_2016,Kleibl,2016,"ed in approximately 25% of familial breast cancer diagnoses (Kleibl and Kristensen, 2016). BRCA1 and BRCA2 which are important regulators of the homo"
kockler_2021,Kockler,2021,"re processed into one-ended DNA DSBs prior to repair by BIR (Kockler et al., 2021). BIR is a type of homologous recombination. Either fork sta"
kotsantis_2016,Kotsantis,2016,", H-RAS and c-Myc can act as inducers of replication stress (Ekholm-Reed et al., 2004; Kotsantis et al., 2016; Leonard and Méchali, 2013; Srinivasan et al., 2013). It has been found that replication stress can be induced w"
kotsantis_2018,Kotsantis,2018,"xpressed uncontrollably, this can induce replication stress (Kotsantis et al., 2018). A number of studies investigating different species have h"
krokan_1981,Krokan,1981,"dCTP incorporation, and increasing the apparent Km for dTTP (Krokan et al., 1981). It is a tetracyclic diterpenoid that has a tetradecahydro-"
kweon_2020,Kweon,2020,"the functionality of the gene and its role in breast cancer (Kweon et al., 2020)."
laikova_2019,Laikova,2019,"micals, radiation, and the sun can cause mutations to occur (Laikova et al., 2019). Having children early reduces the risk of breast cancer fo"
lei_2020,Lei,2020,"ty, and angiogenesis is linked to mutations in the VHL gene (Lei et al., 2020; Uboveja et al., 2020). There are other hallmarks of human cancer that are not cor"
leonard_2013,Leonard,2013,", H-RAS and c-Myc can act as inducers of replication stress (Ekholm-Reed et al., 2004; Kotsantis et al., 2016; Leonard and Méchali, 2013; Srinivasan et al., 2013). It has been found that replication stress can be induced w"
li_2019,Li,2019,"cancer risk factors within social and economic development (Bray et al., 2012; Li et al., 2019). Data from the 2019 Global Burden of disease (GBD) study in"
li_2020,Li,2020,"ls to start mitosis without the CFSs being fully replicated (Li and Wu, 2020). Another change initiated by DNA replication stress is tand"
lin_2021,Lin,2021,"mortality, while cancer continues to reduce life expectancy (Lin et al., 2021). As populations globally have continued to grow and age, a"
lincoln_2015,Lincoln,2015,"s and are indicated in approximately 2-3% of breast cancers (Lincoln et al., 2015). The DDR mechanism plays an essential part in maintaining a"
lokanga_2021,Lokanga,2021,"ese tend to replicate late and have fewer densities of ORIs (Glover et al., 2017; Lokanga et al., 2021). It has been suggested more recently that fragile sites ind"
lu_2021,Lu,2021,"with regards to immune system, nervous system, and genetics (Lu et al., 2021). Due to their physiological and genetic similarity to human"
luond_2021,Lüönd,2021,"rks of the heterogenous populations calls for more research (Lüönd, 2021)"
maffia_2020,Maffia,2020,"nd thus interfere with the progression of replication forks (Maffia, 2020)."
makita_2021,Makita,2021,"s, thus facilitating their post-transcriptional degradation (Makita et al., 2021). ZFP36L1 functions as a critical regulator of post-transcri"
mann_2005,Mann,2005,"athway, increased the probability of mice developing cancer (Mann et al., 2005; Hu et al., 2007)."
mirzaei_2021,Mirzaei,2021,"actions between non-coding RNAs and NF-KappaB interactions, Mirzaei et al. (2021) also suggest that targeting NF-KappaB could be a promising"
mojica_2013,Mojica,2013,", clustered regularly interspaced short palindromic repeats (Mojica and Garrett, 2013). Ruud Jansen suggested that these structures were frequentl"
moraes_2016,Moraes,2016,"entally enhancing knowledge of genes and non-coding regions (Moraes and Góes, 2016). In the 2000s the next big leap in progress came via the in"
murayama_2019,Murayama,2019,"e. This technique is called patient-derived xenograft (PDX) (Murayama and Gotoh, 2019)."
nascimento_2021,Nascimento,2021,"homology between genomes and similar metastatic behaviours (Nascimento and Ferreira, 2021)."
nasir_2012,Nasir,2012,"otein which represses the ERα gene transcription in B cells (Nasir et al., 2012). Induction of Blimp1 repression of ERα through the RelB and"
newman_2017,Newman,2017,"in specific immune cell populations and metabolic processes (Newman et al., 2017). The functional diversity within the ZFP36 family reflects"
nowell_1976,Nowell,1976,"in a tumour and its metastases appear to continue to evolve (Greaves and Maley, 2012; Nowell, 1976)."
nurchis_2024,Nurchis,2024,"quenced within two days at the cost of a few hundred pounds (Nurchis et al., 2024). The relatively modest costs per analysis, together with ve"
nurk_2022,Nurk,2022,"ago, it is now possible to sequence the entire human genome (Nurk et al., 2022). DNA sequencing attempts began in the 70s and 80s via Sange"
oberle_1991,Oberle,1991,"is now accessible in the form of online databases and tools (Grissa et al., 2007; Grissa et al., 2008; Oberle et al., 1991). There are three stages in the CRISPR system: adaptation, p"
otsuka_2019,Otsuka,2019,"g cell proliferation, differentiation, and immune responses (Otsuka, 2019). ZFP36L1 has specialised and context-dependent roles in spe"
papasavva_2019,Papasavva,2019,"ertainty regarding which mutation induces the disease state (Papasavva et al., 2019)."
pareek_2011,Pareek,2011,"ia Illumina sequencing, SOLiD sequencing and pyrosequencing (Pareek et al., 2011). As methods and techniques improved further in the 2010s ne"
park_2009,Park,2009,"se in intracellular ROS which produces oxidative DNA damage (Park et al., 2009; Fussell et al., 2011). One theory suggests that estrogen metabolites can interfer"
pecorino_2021,Pecorino,2021,"nocarcinomas develop from glandular tissues like the breast (Pecorino, 2021)."
pfeifer_2024,Pfeifer,2024,"sing from cellular perturbations such as replication stress (Pfeifer and Jin, 2024)."
pourcel_2005,Pourcel,2005,"cteria with mechanisms like that of eukaryotic RNAi systems (Mojica and Garrett, 2013; Pourcel et al., 2005)."
pruitt_2007,Pruitt,2007,"m4 can induce lymphomas and mammary adenocarcinomas in mice (Pruitt et al., 2007). When CDT1 and CDT6 are over-expressed, this can induce cel"
pequeux_2012,Péqueux,2012,"ally in estrogen receptor negative (ER-) breast cancer also (Péqueux et al., 2012; Yue et al., 2013). Adipose stromal cells (ASC) cells produce estrogen and are"
rehm_2020,Rehm,2020,"n, which means that it is a known cause of cancer in humans (Bahn et al., 2007; Rehm et al., 2020). Smoking is linked primarily to lung cancer as well as othe"
riggio_2021,Riggio,2021,"te in breast cancer that has metastasised is lower than 30% (Riggio et al., 2021). Breast cancer is the primary cause of cancer induced death"
samsom_2022,Samsom,2022,"al burden differences and similarities between many samples (Samsom et al, 2022). Tumour mutational burden, derived from genome-wide data, h"
satam_2023,Satam,2023,"researchers to study cancer biology at very high resolution (Satam et al., 2023). The comprehensive nature of WGS enables it to be leveraged"
savage_2014,Savage,2014,or – thus inducing mutagenesis directly. It was reported by Savage et al. (2014) that double stranded breaks (DSB) are caused in healthy bre
schuijers_2018,Schuijers,2018,"te and modifying the epigenetics of MYC regulatory elements (Schuijers et al., 2018). Cell cycle kinase MASTL is involved in the regulation of p"
selvakumar_2022,Selvakumar,2022,"medicine to fight and treat many diseases, including cancer (Selvakumar et al., 2022)."
seo_2005,Seo,2005,"transformation and tumorigenesis in immunocompromised mice (Seo et al., 2005; Arentson et al., 2002). In mice that were p53 deficient, thymic lymphoblastic leuk"
sethi_2023,Sethi,2023,"uctural rearrangements, and genome-wide mutational patterns (Sethi, 2023). This large breadth of coverage enables cancer genomes to b"
shah_2012,Shah,2012,"t all treatments will be as effective on different subtypes (Shah et al., 2012). Intratumoural heterogeneity refers to the differences betw"
shendure_2022,Shendure,2022,"nitial sequencing of small genomes, but was slow and costly (Shendure et al., 2022). Automated DNA sequencing became viable in the 1980s with t"
sidali_2021,Sidali,2021,"in that belongs to the CCCH-type zinc finger protein family (Cassandri et al., 2017; Sidali et al., 2021). Sidali (2023) characterised the role of ZFP36L1 in suppres"
sidali_2023,Sidali,2023,"otein family (Cassandri et al., 2017; Sidali et al., 2021). Sidali (2023) characterised the role of ZFP36L1 in suppressing replicatio"
solaiman_2021,Solaiman,2021,"vival advantage over normal cells (Bilousova et al., 2005). Solaiman (2021) characterised replication stress-associated 53BP1 nuclear b"
spadari_1982,Spadari,1982,"cells, particularly those in the S-phase of the cell cycle (Spadari et al., 1982). It also exhibits antiviral effects, inhibiting the growth"
srinivasan_2013,Srinivasan,2013,", H-RAS and c-Myc can act as inducers of replication stress (Ekholm-Reed et al., 2004; Kotsantis et al., 2016; Leonard and Méchali, 2013; Srinivasan et al., 2013). It has been found that replication stress can be induced w"
sternlicht_2005,Sternlicht,2005,"ed by estrogens during the development of breast epithelium (Sternlicht, 2005). Researchers believe that DNA mutations occur due to replic"
sun_2025,Sun,2025,"patients receiving ICI therapy across multiple cancer types (Sun et al., 2025). In non-small cell lung cancer, urothelial carcinoma, and o"
sung_2021,Sung,2021,"d is also the third or fourth in an additional 23 countries (Sung et al., 2021). Countries which are more developed economically have decre"
sutherland_1991,Sutherland,1991,"e DNA present as breaks, constrictions, and gaps in the DNA (Sutherland, 1991). The classification of each kind of site is based on the re"
szymonowicz_2020,Szymonowicz,2020,"virus (HPV) - is observed in most cervical cancers globally (Szymonowicz and Chen, 2020). Diet and the lack of physical exercise can also influence"
tock_2005,Tock,2005,"of infection (Dockrell, 2001), and restriction modification (Tock and Dryden, 2005). CRISPR-Cas are natural prokaryotic adaptive immune systems"
uboveja_2020,Uboveja,2020,"ty, and angiogenesis is linked to mutations in the VHL gene (Lei et al., 2020; Uboveja et al., 2020). There are other hallmarks of human cancer that are not cor"
vollger_2023,Vollger,2023,"nising radiation or oncogenes can induce these duplications (Vollger et al., 2023). Ionising radiation and oncogenes can induce the collapse o"
wang_2005,Wang,2005,"tability of chromosomes and development of lymphoid tumours (Wang et al., 2005). Carcinogenesis is observed when replication stress respons"
wang_2025,Wang,2025,"ed with other biomarkers for optimal patient stratification (Wang et al., 2025)."
weigelt_2010,Weigelt,2010,"ffer by clinicopathological features and molecular profiles (Weigelt et al., 2010). Utilising gene expression profiling, BC can be classified"
welch_2013,Welch,2013,"ces, thereby enabling measures to help mitigate the disease (Welch and Kawamoto, 2013). WGS has become an extremely useful instrument in the bio-s"
woodward_2021,Woodward,2021,"ir (HR) pathway are implicated in 20% of all breast cancers (Woodward et al., 2021). A recent study investigating 925 breast cancer patients de"
yao_2014,Yao,2014,"processes contribute to disease initiation and progression (Yao and Dai, 2014)."
yin_2020,Yin,2020,"l like-2, Mesenchymal Stem Cell like, and Luminal Androgen. (Yin et al., 2020). Data suggests that these breast cancer subtypes differ acc"
yue_2013,Yue,2013,"ally in estrogen receptor negative (ER-) breast cancer also (Péqueux et al., 2012; Yue et al., 2013). Adipose stromal cells (ASC) cells produce estrogen and are"
zeman_2014,Zeman,2014,"s formed, which is harder to unwind and thus stops the fork (Zeman and Cimprich, 2014). Conflicts may occur when replicating and transcribing beca"
zhang_2020,Zhang,2020,"his model can be used to study drug resistance and efficacy (Zhang et al., 2020). Although less common than mice, rats have been used as mod"
zhang_2021,Zhang,2021,"diting, repression, gene knockout and epigenetic alteration (Zhang et al., 2021). Table 1 below highlights some of the CRISPR approaches to"
zou_2020,Zou,2020,. To better understand the effects of diet on breast cancer Zou et al. (2020) tested two different diets – one ketogenic and one standard
